equipment_location_city,equipment_location_zip,equipment_specification_id,equipment_intended_use,equipment_cooling_capacity,equipment_commissioned_date,equipment_last_inspection,equipment_last_bact_sample_collection_date,equipment_last_legionella_sample_collection_date,legionella_exceedance_recode_text,equipment_street_address
HAWTHORNE,10532,4,Air Conditioning,325,12/13/2002,10/10/2018,10/10/2018,10/10/2018,no,3 SKYLINE DRIVE
New York,10007,6,Air Conditioning,600,8/10/2005,,,,no,140 West Street
New York,10022,7,Air Conditioning,5500,1/1/1976,10/12/2018,10/12/2018,10/30/2018,no,601 Lexington Avenue
Painted Post,14870,8,Air Conditioning,250,7/12/2011,10/2/2018,10/4/2018,10/2/2018,no,905 Addison Road
Orangeburg,10962,9,Air Conditioning,800,6/1/2014,9/13/2018,9/14/2018,6/21/2018,no,155 Corporate Drive 
Orangeburg,10962,10,Air Conditioning,800,6/1/2014,9/13/2018,9/14/2018,6/21/2018,no,155 Corporate Drive 
Orangeburg,10962,12,Air Conditioning,800,6/1/2014,9/13/2018,6/21/2018,3/14/2018,no,155 Corporate Drive 
Orangeburg,10962,13,Air Conditioning,800,6/1/2014,9/13/2018,9/14/2018,6/21/2018,no,155 Corporate Drive 
New York,10065,14,Air Conditioning,315,7/1/2003,9/18/2018,9/18/2018,9/19/2018,no,205 East 67th Street
New York,10036,15,Air Conditioning,1291,1/1/2005,3/9/2018,5/7/2018,5/7/2018,no,114 W 47th St
New York,10036,16,Air Conditioning,750,1/1/2005,3/9/2018,5/7/2018,5/7/2018,no,114 W 47 St
New York,10036,17,Air Conditioning,317,1/1/2005,3/9/2018,5/7/2018,5/7/2018,no,114  W 47th ST
New York,10028,18,Air Conditioning,450,8/18/2014,6/1/2017,5/11/2017,5/12/2017,no,75 East End Avenue
Saratoga Springs,12866,19,Air Conditioning,83,1/1/2005,9/26/2018,9/26/2018,9/26/2018,no,3 Union Ave
New York,10036,21,Air Conditioning,5700,6/1/2005,8/30/2018,5/28/2018,2/8/2018,no,1585 Broadway
New York,10017,24,Air Conditioning,,6/1/2005,8/6/2015,,,no,733 Third Avenue
New York,10036,25,Air Conditioning,1200,10/1/1963,10/27/2017,6/6/2018,6/4/2018,no,1212 6th ave
New York,10036,26,Air Conditioning,300,6/19/2000,10/13/2017,6/6/2018,6/19/2018,no,1212 6th ave
New York,10017,27,Air Conditioning,850,5/4/2006,6/1/2018,6/6/2018,8/13/2018,no,733 3rd Ave
New York,10017,28,Air Conditioning,360,5/11/2006,6/1/2018,6/6/2018,8/13/2018,no,733 Third Avenue
New York,10017,29,Air Conditioning,350,5/15/2006,6/1/2018,6/6/2018,8/13/2018,no,733 Third Avenue
East Syracuse,13057,30,Air Conditioning,,,,,,no,111 Sanders Creek Parkway
Oriskany,13424,31,Air Conditioning,400,6/1/1989,8/12/2015,8/12/2015,9/2/2015,no,6023 Airport Road
Utica,13502,32,Air Conditioning,,,,,,no,811 Court Street
