equipment_location_city,equipment_location_zip,equipment_specification_id,equipment_intended_use,equipment_cooling_capacity,equipment_commissioned_date,equipment_last_inspection,equipment_last_bact_sample_collection_date,equipment_last_legionella_sample_collection_date,legionella_exceedance_recode_text,equipment_location_city
HAWTHORNE,10532,4,Air Conditioning,325,12/13/2002,10/10/2017,10/10/2017,10/10/2017,no,HAWTHORNE
New York,10007,6,Air Conditioning,600,8/10/2005,,,,no,New York
New York,10022,7,Air Conditioning,5500,1/1/1976,3/5/2018,2/20/2018,2/26/2018,no,New York
Painted Post,14870,8,Air Conditioning,250,7/12/2011,5/4/2017,5/4/2017,4/4/2017,no,Painted Post
Orangeburg,10962,9,Air Conditioning,800,6/1/2014,10/7/2017,9/19/2017,9/19/2017,no,Orangeburg
Orangeburg,10962,10,Air Conditioning,800,6/1/2014,10/7/2017,9/19/2017,9/19/2017,no,Orangeburg
Orangeburg,10962,12,Air Conditioning,800,6/1/2014,10/7/2017,9/19/2017,9/19/2017,no,Orangeburg
Orangeburg,10962,13,Air Conditioning,800,6/1/2014,10/7/2017,9/19/2017,9/19/2017,no,Orangeburg
New York,10065,14,Air Conditioning,315,7/1/2003,1/3/2018,2/21/2018,2/21/2018,no,New York
New York,10036,15,Air Conditioning,1291,1/1/2005,3/9/2018,2/14/2018,2/14/2018,no,New York
New York,10036,16,Air Conditioning,750,1/1/2005,3/9/2018,2/14/2018,2/14/2018,no,New York
New York,10036,17,Air Conditioning,317,1/1/2005,3/9/2018,2/14/2018,2/14/2018,no,New York
New York,10028,18,Air Conditioning,450,8/18/2014,6/1/2017,5/11/2017,5/12/2017,no,New York
Saratoga Springs,12866,19,Air Conditioning,83,1/1/2005,11/3/2017,11/1/2017,10/23/2017,no,Saratoga Springs
New York,10036,21,Air Conditioning,5700,6/1/2005,5/25/2017,5/29/2017,5/11/2016,no,New York
New York,10017,24,Air Conditioning,,6/1/2005,8/6/2015,,,no,New York
New York,10036,25,Air Conditioning,1200,10/1/1963,10/27/2017,10/25/2017,9/11/2017,no,New York
New York,10036,26,Air Conditioning,300,6/19/2000,10/13/2017,11/1/2017,10/10/2017,no,New York
