equipment_specification_id,equipment_location_city,equipment_location_zip,equipment_intended_use,equipment_commissioned_date,equipment_last_legionella_sample_collection_date,legionella_exceedance_recode_text
2,new york,10036,Air Conditioning,2002/2/10,2019/2/21,no
2,new york,10036,Air Conditioning,2002/2/10,2019/8/15,no
4,HAWTHORNE,10532,Air Conditioning,2002/12/13,2017/5/1,no
4,HAWTHORNE,10532,Air Conditioning,2002/12/13,2017/10/10,no
4,HAWTHORNE,10532,Air Conditioning,2002/12/13,2018/5/8,no
4,HAWTHORNE,10532,Air Conditioning,2002/12/13,2018/7/18,no
4,HAWTHORNE,10532,Air Conditioning,2002/12/13,2018/10/10,no
4,HAWTHORNE,10532,Air Conditioning,2002/12/13,2019/4/18,no
4,HAWTHORNE,10532,Air Conditioning,2002/12/13,2019/7/2,no
4,HAWTHORNE,10532,Air Conditioning,2002/12/13,2019/9/16,no
6,New York,10007,Air Conditioning,2005/8/10,,no
7,New York,10022,Air Conditioning,1976/1/1,2017/6/14,no
7,New York,10022,Air Conditioning,1976/1/1,2017/9/11,no
7,New York,10022,Air Conditioning,1976/1/1,2017/12/7,no
7,New York,10022,Air Conditioning,1976/1/1,2018/2/26,no
7,New York,10022,Air Conditioning,1976/1/1,2018/5/18,no
7,New York,10022,Air Conditioning,1976/1/1,2018/8/9,no
7,New York,10022,Air Conditioning,1976/1/1,2018/10/30,no
7,New York,10022,Air Conditioning,1976/1/1,2019/1/28,yes
7,New York,10022,Air Conditioning,1976/1/1,2019/4/25,yes
7,New York,10022,Air Conditioning,1976/1/1,2019/5/16,no
7,New York,10022,Air Conditioning,1976/1/1,2019/8/8,no
7,New York,10022,Air Conditioning,1976/1/1,2019/10/18,no
8,Painted Post,14870,Air Conditioning,2011/7/12,2017/4/4,no
8,Painted Post,14870,Air Conditioning,2011/7/12,2018/1/23,no
8,Painted Post,14870,Air Conditioning,2011/7/12,2018/7/5,no
8,Painted Post,14870,Air Conditioning,2011/7/12,2018/10/2,no
8,Painted Post,14870,Air Conditioning,2011/7/12,2019/1/2,no
8,Painted Post,14870,Air Conditioning,2011/7/12,2019/4/1,no
8,Painted Post,14870,Air Conditioning,2011/7/12,2019/6/18,no
8,Painted Post,14870,Air Conditioning,2011/7/12,2019/7/10,no
8,Painted Post,14870,Air Conditioning,2011/7/12,2019/10/15,no
9,Orangeburg,10962,Air Conditioning,2014/6/1,2017/7/11,no
9,Orangeburg,10962,Air Conditioning,2014/6/1,2017/9/19,no
9,Orangeburg,10962,Air Conditioning,2014/6/1,2018/3/14,no
9,Orangeburg,10962,Air Conditioning,2014/6/1,2018/6/21,no
9,Orangeburg,10962,Air Conditioning,2014/6/1,2018/9/13,no
9,Orangeburg,10962,Air Conditioning,2014/6/1,2018/12/6,no
9,Orangeburg,10962,Air Conditioning,2014/6/1,2019/2/14,no
9,Orangeburg,10962,Air Conditioning,2014/6/1,2019/7/29,no
10,Orangeburg,10962,Air Conditioning,2014/6/1,2017/7/11,no
10,Orangeburg,10962,Air Conditioning,2014/6/1,2017/9/19,no
10,Orangeburg,10962,Air Conditioning,2014/6/1,2018/3/14,no
10,Orangeburg,10962,Air Conditioning,2014/6/1,2018/6/21,no
10,Orangeburg,10962,Air Conditioning,2014/6/1,2018/9/13,no
10,Orangeburg,10962,Air Conditioning,2014/6/1,2018/12/6,no
10,Orangeburg,10962,Air Conditioning,2014/6/1,2019/2/14,no
10,Orangeburg,10962,Air Conditioning,2014/6/1,2019/7/29,no
12,Orangeburg,10962,Air Conditioning,2014/6/1,2017/7/11,no
12,Orangeburg,10962,Air Conditioning,2014/6/1,2017/9/19,no
12,Orangeburg,10962,Air Conditioning,2014/6/1,2018/3/14,no
12,Orangeburg,10962,Air Conditioning,2014/6/1,2018/9/12,no
12,Orangeburg,10962,Air Conditioning,2014/6/1,2018/12/6,no
12,Orangeburg,10962,Air Conditioning,2014/6/1,2019/2/14,no
12,Orangeburg,10962,Air Conditioning,2014/6/1,2019/7/29,no
13,Orangeburg,10962,Air Conditioning,2014/6/1,2017/7/11,no
13,Orangeburg,10962,Air Conditioning,2014/6/1,2017/9/19,no
13,Orangeburg,10962,Air Conditioning,2014/6/1,2018/3/14,no
13,Orangeburg,10962,Air Conditioning,2014/6/1,2018/6/21,no
13,Orangeburg,10962,Air Conditioning,2014/6/1,2018/9/12,no
13,Orangeburg,10962,Air Conditioning,2014/6/1,2018/12/6,no
13,Orangeburg,10962,Air Conditioning,2014/6/1,2019/2/14,no
13,Orangeburg,10962,Air Conditioning,2014/6/1,2019/7/29,no
14,New York,10065,Air Conditioning,2003/7/1,2017/6/20,no
